r_number,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_205,lat_205,lng_215,lat_215,lng_225,lat_225,lng_235,lat_235
3239,-76.2806,17.8833,3.1,"(0.225708, -0.924531, 0.307079)",,0.0,<pygplates.pygplates.Feature object at 0x000002907038CA50>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3595,-75.2,20.1333,28.45,"(0.239837, -0.907745, 0.344205)",206,143.0,<pygplates.pygplates.Feature object at 0x000002907038CAC0>,,,,,-66.15569635369343,22.129614118069778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3801,-74.5167,24.0333,0.05,"(0.243815, -0.880163, 0.407268)",,inf,<pygplates.pygplates.Feature object at 0x000002907038ED60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,-71.5,-44.85,148.55,"(0.224955, -0.672319, -0.705253)",291,600.0,<pygplates.pygplates.Feature object at 0x000002907038CB30>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.235231490250708,-51.726355381772606,,,,,,,,,,,,,,,,,,
786,-71.4,19.6667,8.45,"(0.300353, -0.892482, 0.336548)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038CC10>,-70.1526788855017,20.169252575659133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3902,-71.3,19.5333,7.1,"(0.302161, -0.892696, 0.334355)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038CC80>,-70.05552756460783,20.033802374809117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,-70.2833,-38.7,160.4,"(0.263294, -0.734676, -0.625243)",291,600.0,<pygplates.pygplates.Feature object at 0x000002907038CF90>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.798011325352572,-41.69851355330574,,,,,,,,,,,,,,
569,-69.7833,-35.9167,160.4,"(0.279868, -0.759976, -0.586608)",291,600.0,<pygplates.pygplates.Feature object at 0x000002907038CCF0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.822948650001663,-38.88702443780228,,,,,,,,,,,,,,
3238,-69.5167,18.4167,0.05,"(0.332012, -0.888796, 0.315926)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038CF20>,-68.29368344669638,18.88008950600812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3751,-69.0667,12.2833,0.05,"(0.349102, -0.912616, 0.212746)",203,600.0,<pygplates.pygplates.Feature object at 0x000002907038CE40>,-67.50469602184886,12.552395636815229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,-67.9167,18.1667,8.45,"(0.357214, -0.880449, 0.311783)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038CD60>,-66.69579673340424,18.596230702039954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,-67.0333,18.5167,13.8,"(0.369996, -0.873067, 0.317581)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038CDD0>,,,-63.514385716449624,19.490833734419525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,-67.0333,18.5167,8.45,"(0.369996, -0.873067, 0.317581)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038C890>,-65.8021253045677,18.927269136004984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,-66.9167,17.9833,25.55,"(0.372915, -0.874994, 0.30874)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038C510>,,,,,-61.62271613831951,19.027640719381406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,-66.75,18.05,25.55,"(0.375317, -0.873574, 0.309847)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038CEB0>,,,,,-61.449208279727245,19.079436050220057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,-66.6333,18.0167,13.8,"(0.377167, -0.872973, 0.309294)",252,110.0,<pygplates.pygplates.Feature object at 0x00000290703900B0>,,,-63.14687792753778,18.967508908626694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,-66.5,18.4167,25.55,"(0.378327, -0.870092, 0.315926)",252,110.0,<pygplates.pygplates.Feature object at 0x00000290703902E0>,,,,,-61.16287881804699,19.422624061933462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,-64.8333,17.6667,17.1,"(0.405198, -0.862389, 0.303479)",234,80.0,<pygplates.pygplates.Feature object at 0x0000029070390190>,,,-61.365037274091456,18.508119445764393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3952,-64.7667,32.2667,0.05,"(0.360472, -0.764887, 0.533861)",,inf,<pygplates.pygplates.Feature object at 0x000002907038CBA0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3819,-64.6167,11.85,0.05,"(0.419536, -0.884206, 0.20535)",234,80.0,<pygplates.pygplates.Feature object at 0x0000029070390200>,-63.53639986737953,12.210145438613038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,-61.8,17.6833,13.8,"(0.450223, -0.839662, 0.303755)",234,80.0,<pygplates.pygplates.Feature object at 0x0000029070390120>,,,-58.324074984137965,18.337389051996524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,-61.6833,17.0333,27.05,"(0.453538, -0.841723, 0.292927)",234,80.0,<pygplates.pygplates.Feature object at 0x0000029070390350>,,,,,-56.48036533622886,17.619508915156963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3820,-59.5333,13.0667,0.05,"(0.493909, -0.839607, 0.226085)",234,80.0,<pygplates.pygplates.Feature object at 0x0000029070390430>,-58.42023174380196,13.315044708257869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,-16.3333,33.05,8.45,"(0.804367, -0.235721, 0.545371)",,inf,<pygplates.pygplates.Feature object at 0x0000029070390270>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,-16.3333,33.05,13.8,"(0.804367, -0.235721, 0.545371)",,inf,<pygplates.pygplates.Feature object at 0x00000290703904A0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2855,-9.7667,30.6167,154.7,"(0.848121, -0.145988, 0.509292)",707,600.0,<pygplates.pygplates.Feature object at 0x00000290703903C0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0189186354461897,18.126841663715304,,,,,,,,,,,,,,,,
388,-9.6667,32.55,160.4,"(0.830954, -0.141541, 0.538035)",707,600.0,<pygplates.pygplates.Feature object at 0x0000029070390580>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.761205917568509,23.724882304095694,,,,,,,,,,,,,,
2751,-9.0514,39.1958,160.4,"(0.76534, -0.121922, 0.631972)",304,600.0,<pygplates.pygplates.Feature object at 0x0000029070390040>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.786452375124734,26.31597035147605,,,,,,,,,,,,,,
497,-9.05,38.95,154.7,"(0.768014, -0.122329, 0.628642)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290703906D0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.76878373474053,24.122970901006113,,,,,,,,,,,,,,,,
499,-8.1,37.15,154.7,"(0.789106, -0.112306, 0.603904)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290703905F0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.648740963146158,22.17686294727952,,,,,,,,,,,,,,,,
3482,-7.9667,37.1667,157.3,"(0.78919, -0.110446, 0.604136)",304,600.0,<pygplates.pygplates.Feature object at 0x0000029070390740>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.760051270727827,22.14623588521942,,,,,,,,,,,,,,,,
353,-6.2667,31.6833,186.75,"(0.845879, -0.0928884, 0.525224)",714,600.0,<pygplates.pygplates.Feature object at 0x00000290703907B0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.868529188811453,26.40336653647461,,,,,,,,,,
