r_number,lat,lng,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
3952,32.2667,-64.7667,0.05,"(0.360472, -0.764887, 0.533861)",101,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DACEB0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3819,11.85,-64.6167,0.05,"(0.419536, -0.884206, 0.20535)",224,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DACF20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,17.6833,-61.8,13.8,"(0.450223, -0.839662, 0.303755)",239,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAC040>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,17.0333,-61.6833,27.05,"(0.453538, -0.841723, 0.292927)",239,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD120>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3820,13.0667,-59.5333,0.05,"(0.493909, -0.839607, 0.226085)",239,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD190>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,33.05,-16.3333,8.45,"(0.804367, -0.235721, 0.545371)",714,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD0B0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,33.05,-16.3333,13.8,"(0.804367, -0.235721, 0.545371)",714,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD200>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2855,30.6167,-9.7667,154.7,"(0.848121, -0.145988, 0.509292)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD270>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.896476474560385,27.792568611211077,,,,,,,,
388,32.55,-9.6667,160.4,"(0.830954, -0.141541, 0.538035)",714,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD2E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751,39.1958,-9.0514,160.4,"(0.76534, -0.121922, 0.631972)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD350>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.285116730630044,32.45641466752489,,,,,,
