r_number,lat,lng,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
3238,18.4167,-69.5167,0.05,"(0.332012, -0.888796, 0.315926)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9E120>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3751,12.2833,-69.0667,0.05,"(0.349102, -0.912616, 0.212746)",248,200.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9E190>,-69.00336658468876,10.473856964853058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,18.1667,-67.9167,8.45,"(0.357214, -0.880449, 0.311783)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9E2E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,18.5167,-67.0333,13.8,"(0.369996, -0.873067, 0.317581)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9E430>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,18.5167,-67.0333,8.45,"(0.369996, -0.873067, 0.317581)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9E510>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,17.9833,-66.9167,25.55,"(0.372915, -0.874994, 0.30874)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9E350>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,18.05,-66.75,25.55,"(0.375317, -0.873574, 0.309847)",242,135.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9E3C0>,,,,,-66.22073144187341,13.676478533717935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,18.0167,-66.6333,13.8,"(0.377167, -0.872973, 0.309294)",242,135.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9E660>,,,-65.9841355841468,14.951767912102444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,18.4167,-66.5,25.55,"(0.378327, -0.870092, 0.315926)",242,135.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9E6D0>,,,,,-65.95559496144546,14.029441427210486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,17.6667,-64.8333,17.1,"(0.405198, -0.862389, 0.303479)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9E5F0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3952,32.2667,-64.7667,0.05,"(0.360472, -0.764887, 0.533861)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9E580>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3819,11.85,-64.6167,0.05,"(0.419536, -0.884206, 0.20535)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9E7B0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,17.6833,-61.8,13.8,"(0.450223, -0.839662, 0.303755)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9E740>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,17.0333,-61.6833,27.05,"(0.453538, -0.841723, 0.292927)",251,40.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9E4A0>,,,,,-60.01810581640702,12.109281529564669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3820,13.0667,-59.5333,0.05,"(0.493909, -0.839607, 0.226085)",253,14.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9E900>,-59.5333,13.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,33.05,-16.3333,8.45,"(0.804367, -0.235721, 0.545371)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9E890>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,33.05,-16.3333,13.8,"(0.804367, -0.235721, 0.545371)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9EA50>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2855,30.6167,-9.7667,154.7,"(0.848121, -0.145988, 0.509292)",707,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9E9E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.094142000234623,21.272520046499434,,,,,,,,
388,32.55,-9.6667,160.4,"(0.830954, -0.141541, 0.538035)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9E820>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751,39.1958,-9.0514,160.4,"(0.76534, -0.121922, 0.631972)",304,650.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9EAC0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7462747503646794,27.14736690595646,,,,,,
497,38.95,-9.05,154.7,"(0.768014, -0.122329, 0.628642)",304,650.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9EBA0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.138015421859795,28.567794544056213,,,,,,,,
499,37.15,-8.1,154.7,"(0.789106, -0.112306, 0.603904)",304,650.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9E970>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3587526061909165,26.744836944840316,,,,,,,,
3482,37.1667,-7.9667,157.3,"(0.78919, -0.110446, 0.604136)",304,650.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9ECF0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4586981942413628,26.68488183504428,,,,,,,,
353,31.6833,-6.2667,186.75,"(0.845879, -0.0928884, 0.525224)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9EC10>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.6287849063390025,24.674523787695826,,
389,33.85,-5.6667,186.75,"(0.82644, -0.0820046, 0.557021)",707,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9EF90>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.060317011627622,26.391002876055623,,
3583,33.65,-5.6167,8.45,"(0.828441, -0.0814732, 0.554118)",707,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9EC80>,-6.1781992212314,31.959622079820203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,33.5333,-5.1667,186.75,"(0.830178, -0.0750657, 0.552422)",707,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9EDD0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8029116860166488,25.921975515915175,,
354,33.5,-5.0,186.75,"(0.830713, -0.0726779, 0.551937)",707,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9ED60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.68099538544799,25.8303656834477,,
356,32.6833,-4.7167,176.5,"(0.838818, -0.0692095, 0.539995)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9EEB0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6372203496123836,22.045640190119826,,,,
375,32.1597,-4.3597,169.7,"(0.844118, -0.0643541, 0.532281)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9EE40>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4284332658078184,19.450266868246292,,,,,,
355,34.0,-4.1667,186.75,"(0.826846, -0.0602367, 0.559193)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9EF20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.744096175204605,25.970930010069196,,
1238,43.4667,-3.9333,97.2,"(0.724065, -0.0497846, 0.687933)",304,650.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F120>,,,,,,,,,,,,,,,,,,,2.3980230961175337,33.91526409684705,,,,,,,,,,,,,,,,,,,,
1472,36.95,-3.7528,9.45,"(0.797447, -0.0523066, 0.601118)",304,250.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F190>,-4.573485787306157,35.488769092595604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
