r_number,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_205,lat_205,lng_215,lat_215,lng_225,lat_225,lng_235,lat_235
3240,-76.4347,18.1861,2.65,"(0.222837, -0.923545, 0.312104)",222,110.0,<pygplates.pygplates.Feature object at 0x00000290703969E0>,-75.20052337370133,17.061876981147797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3241,-76.4181,18.1847,2.3,"(0.223106, -0.923487, 0.312081)",222,110.0,<pygplates.pygplates.Feature object at 0x0000029070396970>,-75.18412386896266,17.059666648454655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3239,-76.2806,17.8833,3.1,"(0.225708, -0.924531, 0.307079)",222,110.0,<pygplates.pygplates.Feature object at 0x0000029070396900>,-75.06385535412363,16.75194132337458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3595,-75.2,20.1333,28.45,"(0.239837, -0.907745, 0.344205)",274,70.0,<pygplates.pygplates.Feature object at 0x0000029070396890>,,,,,-66.43567499850373,16.032699582406416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3801,-74.5167,24.0333,0.05,"(0.243815, -0.880163, 0.407268)",233,170.0,<pygplates.pygplates.Feature object at 0x0000029070396820>,-72.5630694856222,23.056212489756675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,-71.5,-44.85,148.55,"(0.224955, -0.672319, -0.705253)",283,600.0,<pygplates.pygplates.Feature object at 0x00000290703967B0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.635136322821758,-45.37966204981721,,,,,,,,,,,,,,,,,,
786,-71.4,19.6667,8.45,"(0.300353, -0.892482, 0.336548)",254,110.0,<pygplates.pygplates.Feature object at 0x0000029070396740>,-70.34997978443951,18.51163368247606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3902,-71.3,19.5333,7.1,"(0.302161, -0.892696, 0.334355)",254,110.0,<pygplates.pygplates.Feature object at 0x00000290703966D0>,-70.25398129607315,18.376071878535488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,-70.2833,-38.7,160.4,"(0.263294, -0.734676, -0.625243)",283,600.0,<pygplates.pygplates.Feature object at 0x0000029070396660>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.21071207327465,-43.983191966393264,,,,,,,,,,,,,,
569,-69.7833,-35.9167,160.4,"(0.279868, -0.759976, -0.586608)",2901,600.0,<pygplates.pygplates.Feature object at 0x00000290703965F0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.1953392900305,-40.52895556610004,,,,,,,,,,,,,,
3238,-69.5167,18.4167,0.05,"(0.332012, -0.888796, 0.315926)",254,110.0,<pygplates.pygplates.Feature object at 0x0000029070396580>,-68.51012804653472,17.22115200237782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3751,-69.0667,12.2833,0.05,"(0.349102, -0.912616, 0.212746)",228,170.0,<pygplates.pygplates.Feature object at 0x0000029070396510>,-68.48721299370034,10.43773818948948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,-67.9167,18.1667,8.45,"(0.357214, -0.880449, 0.311783)",254,110.0,<pygplates.pygplates.Feature object at 0x00000290703964A0>,-66.92707506137013,16.937541239921096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,-67.0333,18.5167,13.8,"(0.369996, -0.873067, 0.317581)",237,75.0,<pygplates.pygplates.Feature object at 0x0000029070396430>,,,-65.11269991246816,15.190667121460478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,-67.0333,18.5167,8.45,"(0.369996, -0.873067, 0.317581)",237,75.0,<pygplates.pygplates.Feature object at 0x00000290703963C0>,-66.37130446259697,17.274229241659878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,-66.9167,17.9833,25.55,"(0.372915, -0.874994, 0.30874)",237,75.0,<pygplates.pygplates.Feature object at 0x0000029070396350>,,,,,-63.84616535636658,13.312846734189371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,-66.75,18.05,25.55,"(0.375317, -0.873574, 0.309847)",237,75.0,<pygplates.pygplates.Feature object at 0x0000029070396120>,,,,,-63.680591459148225,13.373052985676232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,-66.6333,18.0167,13.8,"(0.377167, -0.872973, 0.309294)",237,75.0,<pygplates.pygplates.Feature object at 0x0000029070396270>,,,-64.7508722580738,14.669081745165903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,-66.5,18.4167,25.55,"(0.378327, -0.870092, 0.315926)",237,75.0,<pygplates.pygplates.Feature object at 0x0000029070396200>,,,,,-63.42132391403329,13.729874019863658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,-64.8333,17.6667,17.1,"(0.405198, -0.862389, 0.303479)",237,75.0,<pygplates.pygplates.Feature object at 0x00000290703962E0>,,,-63.00537700192688,14.22055814174327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3952,-64.7667,32.2667,0.05,"(0.360472, -0.764887, 0.533861)",101,83.0,<pygplates.pygplates.Feature object at 0x00000290703960B0>,-62.65210726044311,31.041667305506405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3819,-64.6167,11.85,0.05,"(0.419536, -0.884206, 0.20535)",235,90.0,<pygplates.pygplates.Feature object at 0x0000029070396190>,-63.906247477042086,10.17825637372649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,-61.8,17.6833,13.8,"(0.450223, -0.839662, 0.303755)",101,83.0,<pygplates.pygplates.Feature object at 0x0000029070396040>,,,-56.840925626583626,14.13774596478058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,-61.6833,17.0333,27.05,"(0.453538, -0.841723, 0.292927)",234,90.0,<pygplates.pygplates.Feature object at 0x0000029070395EB0>,,,,,-57.48951765178788,12.408785031957432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3820,-59.5333,13.0667,0.05,"(0.493909, -0.839607, 0.226085)",201,83.0,<pygplates.pygplates.Feature object at 0x0000029070395D60>,-57.95608619762869,11.663986337253688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,-16.3333,33.05,8.45,"(0.804367, -0.235721, 0.545371)",714,126.7,<pygplates.pygplates.Feature object at 0x0000029070395F20>,-16.216260964401666,31.36018206553429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,-16.3333,33.05,13.8,"(0.804367, -0.235721, 0.545371)",714,126.7,<pygplates.pygplates.Feature object at 0x0000029070395E40>,,,-15.874894864551102,28.51982017965366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2855,-9.7667,30.6167,154.7,"(0.848121, -0.145988, 0.509292)",706,600.0,<pygplates.pygplates.Feature object at 0x0000029070395DD0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.503172191051757,21.42501969511985,,,,,,,,,,,,,,,,
388,-9.6667,32.55,160.4,"(0.830954, -0.141541, 0.538035)",706,600.0,<pygplates.pygplates.Feature object at 0x0000029070395F90>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7740620501190305,22.590233478631887,,,,,,,,,,,,,,
2751,-9.0514,39.1958,160.4,"(0.76534, -0.121922, 0.631972)",304,600.0,<pygplates.pygplates.Feature object at 0x0000029070395CF0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.13997235644397,26.36183701849242,,,,,,,,,,,,,,
497,-9.05,38.95,154.7,"(0.768014, -0.122329, 0.628642)",304,600.0,<pygplates.pygplates.Feature object at 0x0000029070395C80>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.970408138711424,27.2996244815277,,,,,,,,,,,,,,,,
