r_number,lat,lng,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
406,42.2333,-2.6333,154.7,"(0.739632, -0.0340173, 0.672151)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA4A0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.579137413279433,25.19777289299368,,,,,,,,
662,37.35,-2.35,8.15,"(0.794276, -0.0325957, 0.606682)",329,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA510>,-2.2144289739849476,34.961459533777436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,36.95,-2.2167,8.45,"(0.798562, -0.0309108, 0.601118)",329,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA580>,-2.0842337216354685,34.56164930358984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,41.7833,-2.15,154.7,"(0.745145, -0.0279744, 0.666315)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA5F0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.60624887142752,24.622571734894336,,,,,,,,
664,37.15,-2.1167,6.3,"(0.796513, -0.0294393, 0.603904)",329,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA660>,-1.987659510435056,34.76179908486542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,42.85,-2.0833,57.6,"(0.732652, -0.0266513, 0.680081)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA6D0>,,,,,,,,,,,3.7723695590238115,31.594358360656212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,42.8667,-1.95,63.8,"(0.732514, -0.02494, 0.680295)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA740>,,,,,,,,,,,,,5.853983132353523,31.674631392881654,,,,,,,,,,,,,,,,,,,,,,,,,,
728,42.8667,-1.95,63.8,"(0.732514, -0.02494, 0.680295)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA7B0>,,,,,,,,,,,,,5.853983132353523,31.674631392881654,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,34.6333,-1.9333,8.45,"(0.822338, -0.0277582, 0.568322)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA820>,-1.6605913753040964,32.010874021137816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,32.5167,-1.6667,186.75,"(0.842878, -0.0245257, 0.537545)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA890>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.605347184691707,19.625536879645352,,
357,34.25,-1.6667,176.5,"(0.82624, -0.0240416, 0.562805)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA900>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42325832984997,21.11408368668834,,,,
376,34.25,-1.6667,169.7,"(0.82624, -0.0240416, 0.562805)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA970>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.956054962905808,20.34652452014921,,,,,,
3233,32.5167,-1.6667,196.05,"(0.842878, -0.0245257, 0.537545)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA9E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.278934102318448,18.684024428250304
500,40.3389,-1.6167,154.7,"(0.761926, -0.0215048, 0.647307)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBAA50>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0415166249753,23.214920422331325,,,,,,,,
501,40.15,-1.4167,151.15,"(0.764125, -0.0188977, 0.644791)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBAAC0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.05807984019681,22.972524517510156,,,,,,,,
502,40.25,-1.4,154.7,"(0.763005, -0.0186474, 0.646124)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBAB30>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.13216268241242,23.046774075003196,,,,,,,,
378,32.3333,-1.3333,169.7,"(0.844722, -0.0196606, 0.534844)",714,500.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBABA0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.145248021337496,18.56692174900575,,,,,,
1979,35.1833,-1.3333,6.3,"(0.817092, -0.0190175, 0.576194)",718,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBAC10>,-1.0731318625739368,32.55671927131815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,37.85,-1.1833,6.3,"(0.789451, -0.0163064, 0.613596)",329,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBAC80>,-1.0844244275197086,35.463537866748794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3578,35.55,-1.1667,6.3,"(0.81344, -0.0165662, 0.581413)",718,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBACF0>,-0.9080983483149521,32.922309177759516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
