occurrence_no,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
151805,68.727776,23.505556,41.25,"(0.332695, 0.854542, 0.398838)",501,4500.0,<pygplates.pygplates.Feature object at 0x00000212716A97B0>,,,,,,,,,62.517323886199605,6.41947908164716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.517323886199605,6.41947908164716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168759,-107.572304,43.9524,53.05,"(-0.217349, -0.686323, 0.694061)",101,4500.0,<pygplates.pygplates.Feature object at 0x00000212716A9820>,,,,,,,,,,,-89.06395748419912,49.14549307728968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89.06395748419912,49.14549307728968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203975,-108.699997,49.599998,63.8,"(-0.207796, -0.613906, 0.761538)",101,4500.0,<pygplates.pygplates.Feature object at 0x00000212716A9890>,,,,,,,,,,,,,-83.28272875293976,56.026672933346454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83.28272875293976,56.026672933346454,,,,,,,,,,,,,,,,,,,,,,,,,,
205062,-106.753609,49.424999,63.8,"(-0.187494, -0.622834, 0.759555)",101,4500.0,<pygplates.pygplates.Feature object at 0x00000212716A9900>,,,,,,,,,,,,,-81.21871575500593,55.49824200606549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.21871575500593,55.49824200606549,,,,,,,,,,,,,,,,,,,,,,,,,,
206351,-111.26667,39.183334,62.5,"(-0.281146, -0.722344, 0.631804)",133,4500.0,<pygplates.pygplates.Feature object at 0x00000212716A9970>,,,,,,,,,,,,,-90.88466117667461,46.4190811153522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.88466117667461,46.4190811153522,,,,,,,,,,,,,,,,,,,,,,,,,,
207924,167.433334,-22.666668,0.00585,"(-0.900656, 0.20077, -0.385369)",834,245.0,<pygplates.pygplates.Feature object at 0x00000212716A99E0>,167.1980240371359,-25.65633408662776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.1980240371359,-25.65633408662776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211735,-102.800003,46.900002,53.05,"(-0.151378, -0.666294, 0.730162)",101,4500.0,<pygplates.pygplates.Feature object at 0x00000212716A9A50>,,,,,,,,,,,-82.99429175032999,51.34665971463777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.99429175032999,51.34665971463777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211736,-102.800003,46.900002,53.05,"(-0.151378, -0.666294, 0.730162)",101,4500.0,<pygplates.pygplates.Feature object at 0x00000212716A9AC0>,,,,,,,,,,,-82.99429175032999,51.34665971463777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.99429175032999,51.34665971463777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211737,-102.800003,46.900002,53.05,"(-0.151378, -0.666294, 0.730162)",101,4500.0,<pygplates.pygplates.Feature object at 0x00000212716A9B30>,,,,,,,,,,,-82.99429175032999,51.34665971463777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.99429175032999,51.34665971463777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211999,35.792,4.25,2.1905,"(0.808915, 0.583236, 0.0741085)",712,600.0,<pygplates.pygplates.Feature object at 0x00000212716A9BA0>,35.254908113450846,3.9986733451344287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.254908113450846,3.9986733451344287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212044,35.792,4.25,1.2935,"(0.808915, 0.583236, 0.0741085)",712,600.0,<pygplates.pygplates.Feature object at 0x00000212716A9C10>,35.254908113450846,3.9986733451344287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.254908113450846,3.9986733451344287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212059,35.766998,4.189,2.197,"(0.809233, 0.582929, 0.0730467)",712,600.0,<pygplates.pygplates.Feature object at 0x00000212716A9C80>,35.23013454915357,3.937583857542128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.23013454915357,3.937583857542128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212061,35.766998,4.189,2.197,"(0.809233, 0.582929, 0.0730467)",712,600.0,<pygplates.pygplates.Feature object at 0x00000212716A9CF0>,35.23013454915357,3.937583857542128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.23013454915357,3.937583857542128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212158,36.067001,2.883,4.917,"(0.807306, 0.587986, 0.0502966)",712,600.0,<pygplates.pygplates.Feature object at 0x00000212716A9F90>,35.53478338884736,2.632674122520815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.53478338884736,2.632674122520815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212159,36.067001,2.883,4.917,"(0.807306, 0.587986, 0.0502966)",712,600.0,<pygplates.pygplates.Feature object at 0x00000212716A9DD0>,35.53478338884736,2.632674122520815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.53478338884736,2.632674122520815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212177,36.067001,2.883,3.094,"(0.807306, 0.587986, 0.0502966)",712,600.0,<pygplates.pygplates.Feature object at 0x00000212716A9E40>,35.53478338884736,2.632674122520815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.53478338884736,2.632674122520815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212178,36.067001,2.883,3.094,"(0.807306, 0.587986, 0.0502966)",712,600.0,<pygplates.pygplates.Feature object at 0x00000212716A9D60>,35.53478338884736,2.632674122520815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.53478338884736,2.632674122520815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212189,36.132999,2.55,4.4665,"(0.806851, 0.589078, 0.0444912)",712,600.0,<pygplates.pygplates.Feature object at 0x00000212716A9EB0>,35.60197583946673,2.299915219773055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.60197583946673,2.299915219773055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212206,36.083,2.367,4.4665,"(0.807475, 0.588454, 0.0413002)",712,600.0,<pygplates.pygplates.Feature object at 0x00000212716A9F20>,35.55264974507286,2.1167353927648502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.55264974507286,2.1167353927648502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212207,36.083,2.367,4.4665,"(0.807475, 0.588454, 0.0413002)",712,600.0,<pygplates.pygplates.Feature object at 0x00000212716A90B0>,35.55264974507286,2.1167353927648502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.55264974507286,2.1167353927648502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212228,35.950001,3.367,0.06885,"(0.808132, 0.586066, 0.0587314)",712,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA120>,35.41605751029922,3.1162482479288247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.41605751029922,3.1162482479288247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212231,35.783001,4.217,1.2935,"(0.809041, 0.583134, 0.0735341)",712,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA190>,35.24603127660145,3.9656412021195853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.24603127660145,3.9656412021195853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212232,35.783001,4.217,1.2935,"(0.809041, 0.583134, 0.0735341)",712,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA0B0>,35.24603127660145,3.9656412021195853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.24603127660145,3.9656412021195853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212302,36.241001,3.9,2.67235,"(0.80467, 0.589814, 0.0680153)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA200>,35.52649493854091,3.579193204515619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.52649493854091,3.579193204515619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212304,36.241001,3.9,2.67235,"(0.80467, 0.589814, 0.0680153)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA270>,35.52649493854091,3.579193204515619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.52649493854091,3.579193204515619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212306,36.241001,3.9,2.67235,"(0.80467, 0.589814, 0.0680153)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA2E0>,35.52649493854091,3.579193204515619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.52649493854091,3.579193204515619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212323,36.317001,3.975,1.29985,"(0.803814, 0.590828, 0.0693212)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA350>,35.60270087321091,3.6539563447341967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.60270087321091,3.6539563447341967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
