occurrence_no,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_205,lat_205,lng_215,lat_215,lng_225,lat_225,lng_235,lat_235
638667,165.016663,-78.366669,35.55,"(-0.194792, 0.0521336, -0.979458)",80121,410.0,<pygplates.pygplates.Feature object at 0x00000290744F7CF0>,,,,,,,170.9157310940024,-72.39486623334723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639208,-117.76667,35.5,59.25,"(-0.379274, -0.720372, 0.580703)",178,1800.0,<pygplates.pygplates.Feature object at 0x00000290744F7F90>,,,,,,,,,,,-90.15537149176436,43.54474056578552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639696,-9.3333,39.283329,150.35,"(0.763778, -0.125529, 0.633156)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290744F7DD0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.122763897271485,25.90939425685061,,,,,,,,,,,,,,,,
641975,-109.636551,47.718712,77.05,"(-0.226086, -0.633645, 0.739851)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F7E40>,,,,,,,,,,,,,,,-67.26109350771506,54.896982558693104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643918,6.8225,46.794167,18.205,"(0.679773, 0.0813288, 0.728899)",305,420.0,<pygplates.pygplates.Feature object at 0x00000290744F7D60>,,,5.635265329688404,41.66406663982932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643927,69.146667,29.031111,16.435,"(0.311251, 0.817081, 0.485284)",5011,850.0,<pygplates.pygplates.Feature object at 0x00000290744F7EB0>,,,66.12419775873722,22.859908881750254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645033,-109.651108,47.398056,77.05,"(-0.227636, -0.637477, 0.736074)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F7F20>,,,,,,,,,,,,,,,-67.49197880053751,54.6051585046111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645202,-8.95391,39.909184,158.45,"(0.757715, -0.119386, 0.641573)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290744F7040>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.807673713914399,26.223451204593232,,,,,,,,,,,,,,,,
645203,-8.95391,39.909184,158.45,"(0.757715, -0.119386, 0.641573)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290744F8120>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.807673713914399,26.223451204593232,,,,,,,,,,,,,,,,
645234,-8.8,39.700001,154.7,"(0.760342, -0.117707, 0.638768)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290744F8190>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.768515695226222,25.985751032263515,,,,,,,,,,,,,,,,
645238,-8.8,39.700001,154.7,"(0.760342, -0.117707, 0.638768)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290744F80B0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.768515695226222,25.985751032263515,,,,,,,,,,,,,,,,
646232,12.045279,31.926365,128.95,"(0.830042, 0.177117, 0.528829)",715,500.0,<pygplates.pygplates.Feature object at 0x00000290744F8200>,,,,,,,,,,,,,,,,,,,,,,,,,24.826443501087937,14.427509454367112,,,,,,,,,,,,,,,,,,,,,,
647024,-83.07222,8.856389,2.1905,"(0.11918, -0.980863, 0.153958)",231,30.0,<pygplates.pygplates.Feature object at 0x00000290744F8270>,-82.24428410394846,8.479562717288095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647306,-104.240555,44.021111,151.15,"(-0.17689, -0.696987, 0.694923)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F82E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.145827114046213,36.7713393121845,,,,,,,,,,,,,,,,
647853,-107.334442,38.452778,151.15,"(-0.23333, -0.747553, 0.621869)",101,1900.0,<pygplates.pygplates.Feature object at 0x00000290744F8350>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36.42813847596257,32.58105387254725,,,,,,,,,,,,,,,,
647856,-103.520279,37.305832,151.15,"(-0.185959, -0.773369, 0.606069)",101,1900.0,<pygplates.pygplates.Feature object at 0x00000290744F83C0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.67855020758309,30.37210456969815,,,,,,,,,,,,,,,,
648246,46.582222,-15.907778,69.05,"(0.660992, 0.698545, -0.27409)",702,550.0,<pygplates.pygplates.Feature object at 0x00000290744F8430>,,,,,,,,,,,,,46.92229914832543,-33.711262163199926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648247,46.582222,-15.907778,69.05,"(0.660992, 0.698545, -0.27409)",702,550.0,<pygplates.pygplates.Feature object at 0x00000290744F84A0>,,,,,,,,,,,,,46.92229914832543,-33.711262163199926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648248,46.582222,-15.907778,69.05,"(0.660992, 0.698545, -0.27409)",702,550.0,<pygplates.pygplates.Feature object at 0x00000290744F8510>,,,,,,,,,,,,,46.92229914832543,-33.711262163199926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648825,-89.166664,13.783333,3.35,"(0.0141251, -0.971101, 0.238251)",204,145.0,<pygplates.pygplates.Feature object at 0x00000290744F8580>,-87.21654173769845,13.812547505883765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649094,-89.083336,37.183334,63.8,"(0.0127458, -0.796604, 0.604367)",101,1600.0,<pygplates.pygplates.Feature object at 0x00000290744F85F0>,,,,,,,,,,,,,-56.00973440948289,39.618119137445596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649678,-109.599998,23.299999,3.35,"(-0.308094, -0.865229, 0.395545)",105,150.0,<pygplates.pygplates.Feature object at 0x00000290744F8660>,-105.09750076521557,22.840813982038764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649714,-104.48333,46.049999,62.5,"(-0.173576, -0.671974, 0.719946)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F86D0>,,,,,,,,,,,,,-66.57333842844453,52.14114366538852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649715,-104.48333,46.049999,62.5,"(-0.173576, -0.671974, 0.719946)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8740>,,,,,,,,,,,,,-66.57333842844453,52.14114366538852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649975,-109.0,44.299999,56.3,"(-0.233007, -0.676701, 0.698415)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F87B0>,,,,,,,,,,,-76.7686495174696,49.74683838970359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649982,-109.933334,40.166668,43.3,"(-0.260526, -0.71839, 0.645013)",101,1900.0,<pygplates.pygplates.Feature object at 0x00000290744F8820>,,,,,,,,,-84.93766262608709,43.9900268092843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649984,-100.866669,42.700001,11.95,"(-0.138549, -0.721736, 0.67816)",101,1900.0,<pygplates.pygplates.Feature object at 0x00000290744F8890>,,,-91.09234820564714,42.99865654147031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649985,-109.0,41.700001,48.25,"(-0.243082, -0.70596, 0.66523)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8900>,,,,,,,,,-83.35325851739722,45.245619693428594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650075,-110.699997,41.799999,53.05,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8970>,,,,,,,,,,,-79.84507447696471,47.82686454727899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650076,-110.699997,41.799999,51.0,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F89E0>,,,,,,,,,,,-79.84507447696471,47.82686454727899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650087,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8A50>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650088,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8AC0>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650089,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8B30>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650090,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8BA0>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650091,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8C10>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650092,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8C80>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650093,-110.5,41.200001,48.25,"(-0.263501, -0.704766, 0.658689)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8CF0>,,,,,,,,,-85.0871490683924,45.10405921235573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650094,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8F90>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650095,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8DD0>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650096,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8E40>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650097,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8D60>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650098,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8EB0>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650099,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8F20>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650100,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F8040>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650101,-110.699997,41.799999,53.05,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F9120>,,,,,,,,,,,-79.84507447696471,47.82686454727899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650102,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F9190>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650103,-110.5,41.200001,48.25,"(-0.263501, -0.704766, 0.658689)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F90B0>,,,,,,,,,-85.0871490683924,45.10405921235573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650104,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F9200>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650105,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F9270>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650106,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F92E0>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650107,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F9350>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650108,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F93C0>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650109,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F9430>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650120,-110.699997,41.799999,48.25,"(-0.263507, -0.697351, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F94A0>,,,,,,,,,-85.03617408100128,45.72143524146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650217,1.011,41.124001,68.3,"(0.753171, 0.0132913, 0.657691)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290744F9510>,,,,,,,,,,,,,8.182512265197964,29.70755819434655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650525,9.858333,48.351391,18.205,"(0.654748, 0.113781, 0.747235)",305,420.0,<pygplates.pygplates.Feature object at 0x00000290744F9580>,,,8.314025361602942,43.31249232713785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650612,10.016389,48.322777,19.5,"(0.654799, 0.115652, 0.746903)",305,420.0,<pygplates.pygplates.Feature object at 0x00000290744F95F0>,,,8.460157510839974,43.2890905011834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650683,-106.876312,41.939877,68.3,"(-0.215944, -0.711812, 0.66835)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F9660>,,,,,,,,,,,,,-71.5356388293224,48.989382603099145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650684,-106.876312,41.939877,68.3,"(-0.215944, -0.711812, 0.66835)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F96D0>,,,,,,,,,,,,,-71.5356388293224,48.989382603099145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650698,-107.0,41.799999,68.3,"(-0.217956, -0.712902, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F9740>,,,,,,,,,,,,,-71.74330157471243,48.892201673947845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650714,-107.0,41.799999,68.3,"(-0.217956, -0.712902, 0.666532)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F97B0>,,,,,,,,,,,,,-71.74330157471243,48.892201673947845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650742,10.098333,48.484444,18.205,"(0.652555, 0.116218, 0.748776)",305,420.0,<pygplates.pygplates.Feature object at 0x00000290744F9820>,,,8.523875172623528,43.453256112276144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650847,10.106667,48.477779,18.205,"(0.652624, 0.116328, 0.748699)",305,420.0,<pygplates.pygplates.Feature object at 0x00000290744F9890>,,,8.531931989063184,43.44687416765329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650865,10.020278,48.339722,19.5,"(0.654573, 0.115658, 0.747099)",305,420.0,<pygplates.pygplates.Feature object at 0x00000290744F9900>,,,8.462554471381669,43.30614261248788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650889,10.020278,48.339722,19.5,"(0.654573, 0.115658, 0.747099)",305,420.0,<pygplates.pygplates.Feature object at 0x00000290744F9970>,,,8.462554471381669,43.30614261248788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
