"r_number","lng","lat","mid_ma"
2017,39.9,43.9833,160.4
3802,40,15.15,0.05
3353,40.1,-3.2667,0.05
677,40.5,39.75,17.1
1163,41.6667,15.35,8.45
1161,41.8333,16.6667,8.45
3964,42.5333,0.35,0.05
1162,42.55,16.9333,8.45
1972,43.0167,42.7167,131.15
2018,43.1167,43.2,160.4
3968,43.4,12.0667,0.05
2019,44.1667,42.9167,160.4
784,44.4333,35.4667,42.9
3967,45.15,-12.8,0.05
2079,45.1667,-12.8333,11.3
3963,45.3667,2.0667,0.05
3806,46.4472,-9.4222,1.3
4343,46.7,34.21,58.8
2349,47.9667,33.4167,51.9
1534,48.8333,14.0833,18.2
1535,48.8333,14.0833,19.5
980,50.1306,26.3181,13.8
3332,50.7125,34.6403,21.7
2708,52.7333,31.5097,25.55
3988,53.9667,26.5333,0.4
3965,55.7333,-4.3167,0.05
3989,56.2167,26.9833,0.05
35,57.0583,23.1722,218.25
655,57.1167,27.3167,18.2
3807,57.5,-20.3333,0.45
654,57.5833,26.5333,18.2
2335,57.6667,38,127.2
656,57.9083,26.4722,21.7
495,58.0833,33.25,165.9
653,61.0083,26.0167,18.2
2357,67.1333,38.4167,160.4
3544,69,22.4167,0.05
137,77.85,35.55,218.25
4156,78.56,10.58,106.75
3028,91.25,25.2,57.6
2032,92.4167,10.75,13.8
2033,92.4167,10.75,8.45
2029,93,12,13.8
2031,93,12,8.45
536,95.5,31.5833,154.25
3498,97.1667,3.25,154.25
2821,107.4,-6.9,21.7
3213,111.0167,-8.1167,19.5
3938,113.4,-24.05,0.05
4284,113.51,3.48,21.7
3937,114.1167,-21.8,0.05
4005,114.9167,4.0333,22.5
3940,114.9333,-29.2667,0.05
3533,115.5167,-32,0.05
2689,116.8333,1.3333,31
3212,117.1167,-0.4667,17.3
4147,117.12,-0.58,9.45
2695,117.5833,3.25,3.95
822,117.9806,9.275,14.15
823,118.0833,9.3,14.15
2688,118.8833,0.8667,19.5
2134,120.1722,-4.4667,13.8
3269,120.2333,22.6333,2.15
879,122.3167,10.6667,14.9
880,122.55,10.6833,8.45
874,122.9167,10,8.45
872,123.75,10.3333,14.9
873,123.75,10.25,8.45
884,123.8333,10.3333,25.55
876,124.1667,9.8333,8.45
877,124.3667,10.4167,12.7
875,124.4,11.25,12.7
3953,124.5333,-8.1667,0.45
3954,124.5333,-8.1667,0.05
3365,124.55,8.5,2.2
878,125,11.8333,13.8
3812,125.1667,24.8333,1.7
3933,127.6833,26.0833,1.7
3932,127.7308,26.3914,1.7
3454,128.4333,27.0333,1.3
3450,128.5833,27.3667,1.3
3451,128.5833,27.3667,1.3
3452,128.9667,27.75,1.3
3453,128.9667,27.75,1.3
779,129.7667,-1.2,14.15
3934,129.9667,28.3,0.45
780,130.6167,-0.8833,14.15
1251,130.75,32.5,160.4
3808,131.1667,25.45,3.1
3809,131.1667,25.45,0.05
1252,133,33.5,160.4
2026,138.1667,34.6667,14.9
2048,140.75,37.8333,148.55
646,144.6667,13.45,2.65
717,144.6667,13.3,14.15
3237,147.5833,-6.0833,0.05
3236,147.8,-6.3167,0.05
2076,151.75,7.3333,13.8
2077,151.75,7.3333,8.45
4097,152.22,-23.51,0.05
4096,152.5,-23.3,57.6
4095,152.55,-23.26,0.05
2078,158.1667,6.8333,8.45
2034,160.3333,-9.1333,4.45
2147,166.0833,-22.05,3.95
3976,166.1333,-20.4167,0.05
3955,166.55,-13.1333,0.05
3956,166.6167,-13.25,0.45
3958,167.0167,-15.5667,0.05
3959,167.1667,-16,0.05
3974,167.2167,-20.8833,0.05
3975,167.2167,-20.8833,0.05
3961,167.3667,-16.1667,0.05
3979,167.4167,-22.55,0.05
3960,167.6833,-16.3,0.05
4009,167.8833,-21.5333,0.05
4010,167.9833,-21.45,1.3
3155,177.3333,-17.9333,21.7
3156,177.3333,-17.9333,17.3
3157,177.6,-17.9833,14.9
3905,177.8333,-29.2167,2.15
